temperature,308,313,318,323,328,333,338,343,,,,,,,,
length,,,,,,,,,,a1,a2,x,y,,aj,deltaj
500,0.708,0.782,0.859,0.913,0.959,0.994,1.047,1.1,,0.3,0.8,0.003246753246753,3.67882911826043,,0.3,
501,0.799,0.859,0.919,1.005,1.067,1.084,1.152,1.258,,,,0.003194888178914,4.38687714088077,,0.394387755102041,0.232704402515723
502,0.968,1.021,1.096,1.211,1.217,1.257,1.35,1.458,,,,0.00314465408805,5.02440373599873,,0.492602040816326,0.62655601659751
503,0.942,1.004,1.08,1.181,1.202,1.258,1.322,1.437,,,,0.003095975232198,5.44764154810822,,0.561479591836735,1.09625668449198
504,1.03,1.16,1.227,1.317,1.331,1.468,1.5,1.563,,,,0.003048780487805,5.80542259154788,,0.62015306122449,1.78014184397163
505,1.023,1.138,1.127,1.212,1.271,1.331,1.395,1.552,,,,0.003003003003003,6.08460787352096,,0.664795918367347,2.69811320754717
506,0.884,0.96,1.014,1.115,1.136,1.197,1.195,1.292,,,,0.002958579881657,6.51843771454434,,0.732397959183673,6.39622641509432
507,0.796,0.888,0.939,1.062,1.076,1.156,1.187,1.267,,,,0.002915451895044,7.00088125697162,,0.8,
508,0.883,0.945,1.027,1.131,1.186,1.17,1.32,1.403,,,,,,,,
509,1.009,1.089,1.143,1.219,1.291,1.295,1.401,1.5,,,cov,-0.000111067714191,,,,
510,0.952,1.08,1.099,1.191,1.244,1.392,1.395,1.42,,,dx,1.17545130945376E-08,,,,
511,0.916,1.008,1.057,1.139,1.231,1.221,1.326,1.337,,,dy,1.0636498195825,,,,
512,0.893,0.967,1.038,1.141,1.129,1.213,1.216,1.337,,,correl,-0.993313130948223,,,,
513,0.779,0.85,0.884,0.966,0.999,1.074,1.108,1.16,,,,,,,,
514,0.703,0.76,0.815,0.872,0.908,0.967,1.001,1.06,,,,,,,,
515,0.644,0.698,0.755,0.839,0.836,0.883,0.938,1.021,,,,,,,,
516,0.597,0.651,0.72,0.758,0.797,0.829,0.87,0.957,,,,,,,,
517,0.606,0.646,0.707,0.759,0.8,0.832,0.886,0.928,,,,,,,,
518,0.745,0.77,0.857,0.905,0.949,1.001,1.057,1.109,,,,,,,,
519,0.767,0.82,0.876,0.949,0.968,1.028,1.112,1.176,,,,,,,,
520,0.704,0.748,0.796,0.876,0.907,0.917,1.002,1.034,,,,,,,,
521,0.63,0.666,0.732,0.772,0.805,0.859,0.905,0.947,,,,,,,,
522,0.624,0.671,0.723,0.769,0.817,0.862,0.888,0.918,,,,,,,,
523,0.629,0.679,0.732,0.789,0.85,0.874,0.905,0.944,,,,,,,,
524,0.74,0.814,0.857,0.927,0.96,1.031,1.09,1.126,,,,,,,,
525,0.851,0.945,0.998,1.085,1.113,1.144,1.27,1.335,,,,,,,,
526,0.816,0.888,0.931,1.004,1.046,1.085,1.147,1.163,,,,,,,,
527,0.712,0.788,0.839,0.901,0.939,0.986,1.001,1.074,,,,,,,,
528,0.666,0.733,0.77,0.823,0.888,0.904,0.914,1.01,,,,,,,,
529,0.621,0.669,0.707,0.782,0.815,0.834,0.885,0.928,,,,,,,,
530,0.637,0.702,0.756,0.8,0.831,0.867,0.922,0.941,,,,,,,,
531,0.637,0.723,0.749,0.823,0.84,0.906,0.951,0.982,,,,,,,,
532,0.642,0.716,0.76,0.815,0.841,0.887,0.933,0.987,,,,,,,,
533,0.591,0.636,0.664,0.726,0.764,0.795,0.823,0.907,,,,,,,,
