t (s);V (mV)
414,069;13,4263
415,07;13,4145
416,069;13,4056
417,07;13,3955
418,069;13,3865
419,07;13,3746
420,069;13,3656
421,07;13,3543
422,07;13,3438
423,069;13,3354
424,07;13,3246
425,069;13,3165
426,069;13,3049
427,07;13,2954
428,069;13,2877
429,07;13,2765
430,069;13,2695
431,07;13,2596
432,069;13,2523
433,069;13,2422
434,07;13,2326
435,069;13,2253
436,07;13,2138
437,07;13,2038
438,069;13,1965
439,069;13,1876
440,069;13,1771
441,069;13,1676
442,069;13,1584
443,069;13,1492
444,069;13,1393
445,069;13,1295
446,07;13,118
447,07;13,1086
448,069;13,1008
449,07;13,0898
450,069;13,0821
451,069;13,0726
452,07;13,0613
453,069;13,0521
454,07;13,0411
455,069;13,0343
456,069;13,0239
457,07;13,0132
458,07;13,0021
459,069;12,9944
460,07;12,9828
461,07;12,9744
462,069;12,966
463,069;12,9566
464,07;12,9461
465,069;12,9374
466,07;12,9276
467,069;12,9195
468,069;12,9094
469,069;12,9006
470,07;12,8898
471,07;12,8807
472,069;12,8732
473,07;12,8625
474,07;12,854
475,07;12,8434
476,07;12,834
477,069;12,8258
478,069;12,8164
479,07;12,8062
480,069;12,7988
481,07;12,7878
482,069;12,7794
483,069;12,7706
484,069;12,7609
485,07;12,7501
486,07;12,7409
487,07;12,731
488,069;12,7224
489,069;12,7146
490,07;12,7031
491,069;12,6951
492,07;12,6843
493,069;12,6772
494,069;12,6646
495,069;12,6571
496,07;12,6481
497,069;12,6398
498,07;12,6288
499,069;12,622
500,07;12,6108
501,069;12,6017
502,07;12,591
503,07;12,5826
504,069;12,5747
505,07;12,5635
506,069;12,5546
507,07;12,5444
508,07;12,535
509,069;12,5267
510,07;12,5164
511,07;12,5072
512,069;12,4993
513,07;12,4883
514,069;12,4799
515,069;12,4722
516,07;12,4624
517,069;12,4544
518,069;12,4467
519,07;12,4371
520,069;12,4295
521,069;12,421
522,07;12,4119
523,07;12,4041
524,069;12,3963
525,069;12,389
526,07;12,3798
527,07;12,3725
528,069;12,3652
529,069;12,3573
530,07;12,3476
531,07;12,3398
532,069;12,332
533,069;12,3244
534,069;12,3155
535,069;12,3081
536,07;12,2984
537,07;12,29
538,07;12,2809
539,069;12,2727
540,07;12,2645
541,07;12,2558
542,07;12,2454
543,069;12,2354
544,069;12,2264
545,07;12,2185
546,069;12,2091
547,07;12,1999
548,07;12,1913
549,069;12,1811
550,07;12,1719
551,07;12,1634
552,069;12,1531
553,07;12,1441
554,069;12,1342
555,07;12,1257
556,07;12,1149
557,069;12,1054
558,07;12,0971
559,069;12,0865
560,07;12,0777
561,069;12,0663
562,07;12,0585
563,07;12,0473
564,069;12,0379
565,07;12,0291
566,07;12,0184
567,069;12,0083
568,07;12,0006
569,069;11,9905
570,069;11,9817
571,07;11,9716
572,069;11,9625
573,07;11,9546
574,07;11,9457
575,069;11,9369
576,069;11,9287
577,07;11,9192
578,07;11,9109
579,069;11,9036
580,069;11,8963
581,07;11,8868
582,07;11,8791
583,069;11,8721
584,07;11,8627
585,07;11,8553
586,069;11,8479
587,07;11,8389
588,07;11,8299
589,07;11,822
590,07;11,8142
591,069;11,8062
592,069;11,7982
593,07;11,7874
594,07;11,7792
595,069;11,7729
596,069;11,7658
597,07;11,7564
598,069;11,7495
599,069;11,7423
600,069;11,734
601,069;11,7273
602,069;11,7177
603,07;11,7091
604,07;11,702
605,069;11,6948
606,07;11,6857
607,07;11,6769
608,069;11,669
609,07;11,6598
610,07;11,6518
611,069;11,6431
612,07;11,6345
613,069;11,627
614,069;11,6183
615,07;11,6101
616,07;11,6019
617,069;11,5936
618,069;11,5843
619,07;11,576
620,07;11,5676
621,07;11,5589
622,069;11,5513
623,069;11,5419
624,07;11,5347
625,07;11,5258
626,07;11,5165
627,07;11,5079
628,07;11,4995
629,07;11,49
630,07;11,4811
631,07;11,4735
632,069;11,4636
633,069;11,4537
634,069;11,4448
635,07;11,4372
636,07;11,4295
637,07;11,4196
638,07;11,4102
639,07;11,4011
640,07;11,392
641,069;11,3829
642,069;11,3732
643,07;11,3659
644,07;11,3563
645,07;11,3478
646,07;11,3377
647,07;11,3296
648,07;11,319
649,07;11,3111
650,07;11,3009
651,07;11,2939
652,069;11,2826
653,07;11,2747
654,07;11,2813
655,07;11,2702
656,069;11,2612
657,069;11,2527
658,07;11,2452
659,07;11,237
660,069;11,2277
661,07;11,221
662,069;11,2116
663,069;11,2049
664,07;11,1958
665,07;11,1875
666,069;11,181
667,069;11,1728
668,07;11,164
669,07;11,1558
670,069;11,1479
671,07;11,1403
672,07;11,132
673,069;11,1255
674,069;11,1178
675,07;11,108
676,07;11,1
677,07;11,0925
678,069;11,0854
679,069;11,0769
680,069;11,0696
681,07;11,0601
682,07;11,0539
683,07;11,0462
684,069;11,0397
685,069;11,0319
686,069;11,0254
687,07;11,0162
688,07;11,0086
689,069;11,0006
690,069;10,9936
691,069;10,9856
692,069;10,9827
693,07;10,9738
694,07;10,9669
695,07;10,9594
696,07;10,9508
697,069;10,9423
698,069;10,934
699,07;10,9254
700,069;10,9185
701,07;10,9096
702,069;10,9015
703,07;10,8929
704,069;10,8854
705,07;10,8769
706,07;10,8691
707,069;10,8617
708,069;10,8549
709,07;10,845
710,07;10,8373
711,07;10,8289
712,069;10,823
713,069;10,8162
714,07;10,8069
715,07;10,8008
716,069;10,7933
717,069;10,7872
718,07;10,7786
719,07;10,7711
720,069;10,7641
721,069;10,7575
722,07;10,7488
723,069;10,7413
724,069;10,7349
725,07;10,7251
726,07;10,7183
727,07;10,7112
728,07;10,7049
729,069;10,6985
730,069;10,692
731,069;10,6855
732,07;10,6764
733,07;10,6693
734,07;10,6614
735,069;10,6544
736,069;10,6473
737,07;10,6388
738,07;10,6321
739,069;10,6242
740,069;10,6163
741,069;10,6086
742,069;10,6006
743,069;10,5932
744,068;10,5853
745,068;10,5783
746,068;10,5709
747,069;10,5644
748,069;10,5568
749,068;10,5483
750,068;10,54
751,068;10,5321
752,069;10,5253
753,068;10,5173
754,068;10,5112
755,068;10,5029
756,069;10,4949
757,069;10,4875
758,069;10,4805
759,069;10,4735
760,069;10,4658
761,069;10,4591
762,068;10,4499
763,069;10,4434
764,069;10,4371
765,068;10,4284
766,069;10,4217
767,068;10,4131
768,068;10,4064
769,068;10,3987
770,068;10,3919
771,069;10,3861
772,068;10,3773
773,069;10,371
774,069;10,3639
775,069;10,3565
776,068;10,3489
777,068;10,342
778,069;10,3354
779,069;10,3241
780,068;10,3155
781,068;10,3095
782,069;10,3031
783,068;10,2949
784,069;10,2881
785,068;10,2805
786,069;10,2742
787,068;10,2664
788,069;10,2607
789,068;10,2535
790,069;10,246
791,068;10,2385
792,069;10,2315
793,068;10,2241
794,068;10,2174
795,068;10,2102
796,068;10,2028
797,069;10,1956
798,068;10,1891
799,068;10,1829
800,069;10,175
801,068;10,1686
802,069;10,161
803,068;10,1541
804,068;10,1469
805,068;10,1398
806,068;10,1326
807,068;10,1243
808,069;10,1164
809,069;10,1084
810,069;10,1004
811,069;10,0931
812,068;10,0868
813,068;10,0781
814,069;10,0695
815,068;10,0627
816,069;10,0546
817,068;10,0477
818,069;10,0391
819,068;10,0326
820,069;10,0222
821,068;10,0156
822,069;10,0067
823,069;9,9996
824,069;9,9926
825,07;9,9833
826,069;9,9755
827,07;9,9663
828,07;9,9605
829,069;9,9526
830,07;9,9437
