t (s);V (mV)
0;18,3359
1,049;18,3238
2,07;18,3159
3,07;18,305
4,07;18,2963
5,069;18,2865
6,07;18,2796
7,07;18,2705
8,07;18,2594
9,069;18,2485
10,069;18,2382
11,069;18,2268
12,07;18,2147
13,07;18,1935
14,07;18,1664
15,069;18,1719
16,069;18,163
17,07;18,1916
18,069;17,9532
19,069;17,9121
20,07;17,9128
21,069;17,9216
22,07;17,932
23,069;17,9367
24,07;17,9375
25,069;17,9316
26,07;17,9276
27,069;17,919
28,07;17,912
29,069;17,901
30,07;17,8931
31,07;17,8825
32,069;17,87
33,07;17,8597
34,07;17,8473
35,07;17,8343
36,07;17,8205
37,07;17,8076
38,07;17,7934
39,07;17,7796
40,07;17,7655
41,069;17,7509
42,069;17,7376
43,069;17,7242
44,07;17,7105
45,07;17,6965
46,069;17,6819
47,07;17,6681
48,069;17,6522
49,07;17,6376
50,07;17,6237
51,07;17,608
52,07;17,594
53,069;17,5787
54,07;17,564
55,07;17,5502
56,069;17,533
57,07;17,5206
58,069;17,5044
59,069;17,4908
60,07;17,4789
61,069;17,4591
62,07;17,447
63,069;17,4316
64,07;17,4192
65,069;17,4046
66,07;17,3917
67,069;17,3776
68,07;17,3661
69,07;17,3496
70,07;17,3381
71,07;17,3223
72,07;17,309
73,069;17,2952
74,07;17,2828
75,069;17,2682
76,07;17,2554
77,07;17,2426
78,069;17,2284
79,069;17,2151
80,07;17,2032
81,07;17,1905
82,069;17,1759
83,07;17,1642
84,069;17,1502
85,07;17,138
86,07;17,1247
87,069;17,1122
88,07;17,0988
89,07;17,0861
90,07;17,0724
91,07;17,0596
92,07;17,0462
93,069;17,0319
94,07;17,0201
95,07;17,0061
96,07;16,9927
97,069;16,9804
98,07;16,966
99,07;16,9521
100,069;16,9382
101,07;16,9242
102,069;16,9106
103,07;16,8955
104,07;16,8801
105,069;16,867
106,07;16,8518
107,07;16,8373
108,069;16,8253
109,07;16,8096
110,069;16,7972
111,07;16,7816
112,07;16,7683
113,07;16,7551
114,069;16,7419
115,07;16,7259
116,069;16,7125
117,07;16,6989
118,069;16,686
119,069;16,6734
120,07;16,6596
121,07;16,645
122,07;16,633
123,07;16,619
124,069;16,6068
125,07;16,5932
126,07;16,5806
127,069;16,5678
128,07;16,5547
129,07;16,5424
130,069;16,5297
131,07;16,5175
132,07;16,5047
133,07;16,4931
134,069;16,4795
135,07;16,4682
136,07;16,4567
137,07;16,4443
138,07;16,433
139,069;16,4195
140,07;16,4099
141,07;16,3985
142,07;16,387
143,069;16,374
144,069;16,3621
145,069;16,3518
146,07;16,3405
147,069;16,3278
148,069;16,3168
149,07;16,3072
150,069;16,2945
151,07;16,2846
152,07;16,2737
153,07;16,2608
154,07;16,2501
155,069;16,2367
156,07;16,2247
157,07;16,2124
158,07;16,2007
159,07;16,1869
160,069;16,1739
161,07;16,1617
162,07;16,1487
163,069;16,1375
164,07;16,1244
165,069;16,1125
166,07;16,0988
167,069;16,0874
168,07;16,0734
169,069;16,0615
170,07;16,0481
171,069;16,0361
172,07;16,0237
173,07;16,0119
174,07;15,9983
175,07;15,9869
176,07;15,9745
177,069;15,9643
178,07;15,9499
179,069;15,9392
180,07;15,9246
181,069;15,9134
182,07;15,9004
183,069;15,8892
184,07;15,8765
185,069;15,8669
186,07;15,8533
187,07;15,8404
188,07;15,8291
189,07;15,8173
190,07;15,8054
191,069;15,7937
192,069;15,7836
193,069;15,7725
194,07;15,7591
195,07;15,7477
196,069;15,738
197,069;15,7267
198,07;15,715
199,07;15,7018
200,069;15,692
201,07;15,6804
202,07;15,6685
203,069;15,6584
204,069;15,6465
205,07;15,6346
206,07;15,6231
207,07;15,612
208,069;15,6018
209,07;15,5897
210,069;15,5811
211,07;15,5682
212,07;15,5578
213,069;15,5466
214,07;15,5355
215,069;15,525
216,069;15,5128
217,07;15,5015
218,069;15,489
219,07;15,4789
220,069;15,4663
221,07;15,4554
222,069;15,4433
223,069;15,4328
224,07;15,4224
225,069;15,4111
226,069;15,3994
227,07;15,3887
228,069;15,3763
229,07;15,3662
230,069;15,3542
231,07;15,3439
232,069;15,3318
233,07;15,3217
234,069;15,3101
235,07;15,2997
236,07;15,2894
237,069;15,2768
238,07;15,267
239,07;15,2562
240,07;15,2443
241,07;15,2327
242,07;15,2219
243,069;15,2115
244,069;15,1993
245,069;15,1889
246,07;15,176
247,07;15,1638
248,07;15,1516
249,069;15,1407
250,07;15,1288
251,069;15,1172
252,069;15,1039
253,07;15,0916
254,069;15,0804
255,07;15,0678
256,07;15,0549
257,069;15,044
258,069;15,0319
259,069;15,0203
260,069;15,008
261,07;14,996
262,069;14,9842
263,069;14,9723
264,07;14,9597
265,069;14,95
266,07;14,9371
267,069;14,9272
268,07;14,9158
269,07;14,9055
270,069;14,8943
271,07;14,8845
272,07;14,8753
273,07;14,8654
274,069;14,8541
275,07;14,845
276,069;14,8339
277,07;14,8262
278,069;14,8152
279,07;14,8066
280,069;14,7957
281,07;14,7847
282,069;14,7737
283,07;14,7657
284,069;14,7542
285,07;14,7444
286,069;14,7326
287,07;14,7239
288,07;14,7128
289,07;14,7028
290,07;14,6924
291,07;14,6811
292,07;14,6697
293,07;14,6586
294,07;14,647
295,069;14,6359
296,069;14,6242
297,07;14,6116
298,069;14,6022
299,07;14,5878
300,069;14,5771
301,07;14,5632
302,069;14,554
303,069;14,541
304,07;14,5264
305,069;14,5178
306,069;14,5053
307,07;14,4924
308,069;14,4822
309,07;14,4687
310,069;14,4586
311,069;14,4471
312,07;14,4351
313,069;14,4257
314,069;14,4137
315,07;14,4021
316,07;14,3908
317,069;14,3811
318,07;14,3685
319,069;14,3581
320,07;14,3485
321,069;14,337
322,07;14,3272
323,069;14,3158
324,07;14,3075
325,069;14,2966
326,07;14,2889
327,069;14,2775
328,07;14,2696
329,07;14,2602
330,07;14,25
331,069;14,2391
332,069;14,2313
333,069;14,2197
334,069;14,2114
335,07;14,2024
336,069;14,1914
337,07;14,1841
338,069;14,1724
339,07;14,1629
340,07;14,1539
341,07;14,1441
342,07;14,1339
343,07;14,123
344,07;14,1117
345,069;14,1023
346,069;14,091
347,07;14,0779
348,069;14,0677
349,069;14,0565
350,07;14,0445
351,069;14,0336
352,07;14,0218
353,069;14,0116
354,07;13,9994
355,07;13,9884
356,069;13,9779
357,07;13,9656
358,07;13,9555
359,07;13,9452
360,069;13,9352
361,069;13,9239
362,07;13,9119
363,069;13,9019
364,07;13,8914
365,069;13,8818
366,07;13,8719
367,069;13,8606
368,07;13,8516
369,069;13,8417
370,07;13,8345
371,069;13,825
372,07;13,817
373,069;13,8077
374,069;13,7983
375,07;13,7894
376,07;13,7813
377,069;13,7713
378,07;13,7627
379,069;13,7525
380,069;13,7441
381,07;13,7355
382,069;13,7246
383,069;13,7153
384,07;13,7069
385,07;13,6976
386,069;13,6863
387,069;13,6771
388,07;13,6672
389,07;13,6571
390,07;13,6473
391,07;13,6371
392,069;13,6273
393,069;13,6167
394,069;13,6077
395,069;13,597
396,069;13,5878
397,07;13,5763
398,069;13,5669
399,07;13,5564
400,07;13,5464
401,07;13,5382
402,07;13,5279
403,069;13,5189
404,069;13,5086
405,07;13,5132
406,07;13,5041
407,069;13,4952
408,069;13,4855
409,07;13,4746
410,07;13,4647
411,069;13,456
412,07;13,4451
413,07;13,4344
