t (s);V (mV)
0;23,1627
1,05;23,108
2,101;23,0739
3,151;23,0157
4,165;22,974
5,166;22,9274
6,165;22,8788
7,166;22,831
8,166;22,7826
9,166;22,7332
10,165;22,6847
11,166;22,6343
12,166;22,5853
13,166;22,5351
14,166;22,4867
15,165;22,4367
16,166;22,3858
17,166;22,3369
18,165;22,2878
19,165;22,2381
20,165;22,1871
21,165;22,1382
22,166;22,0887
23,166;22,0388
24,165;21,9897
25,166;21,9396
26,165;21,8914
27,166;21,8407
28,166;21,7917
29,166;21,7424
30,166;21,6943
31,166;21,6464
32,165;21,5988
33,165;21,5497
34,166;21,4998
35,166;21,4517
36,166;21,4034
37,165;21,3564
38,166;21,3071
39,165;21,2599
40,166;21,2099
41,165;21,1623
42,165;21,1149
43,166;21,0675
44,166;21,0207
45,165;20,9758
46,166;20,9284
47,166;20,8818
48,165;20,8353
49,166;20,7874
50,166;20,7397
51,166;20,6931
52,165;20,647
53,165;20,6011
54,166;20,5546
55,165;20,5074
56,165;20,4619
57,166;20,415
58,166;20,3689
59,166;20,323
60,166;20,2772
61,165;20,2308
62,166;20,1843
63,165;20,1365
64,165;20,0912
65,165;20,045
66,165;19,9989
67,166;19,9536
68,166;19,9077
69,165;19,8627
70,165;19,8165
71,166;19,7725
72,166;19,727
73,166;19,6808
74,165;19,6357
75,166;19,5913
76,165;19,5455
77,166;19,5012
78,165;19,4558
79,165;19,4101
80,166;19,3676
81,166;19,3225
82,166;19,2768
83,166;19,2323
84,166;19,188
85,166;19,145
86,166;19,1021
87,166;19,0587
88,166;19,016
89,166;18,973
90,165;18,9277
91,165;18,8842
92,166;18,8415
93,166;18,7987
94,166;18,7551
95,165;18,7106
96,165;18,6687
97,166;18,6269
98,166;18,5844
99,165;18,541
100,165;18,4984
101,166;18,4551
102,165;18,4149
103,166;18,3731
104,166;18,3317
105,165;18,2889
106,166;18,2472
107,166;18,2046
108,165;18,1625
109,166;18,1222
110,165;18,0805
111,166;18,0391
112,165;17,998
113,166;17,9567
114,166;17,9164
115,165;17,875
116,165;17,8334
117,166;17,7925
118,165;17,7514
119,166;17,7113
120,166;17,6707
121,165;17,6291
122,166;17,5891
