t (s);V (mV)
123,165;17,548
124,165;17,509
125,166;17,4694
126,165;17,4285
127,165;17,3901
128,166;17,3502
129,166;17,3083
130,165;17,2695
131,166;17,2307
132,166;17,1919
133,166;17,1518
134,166;17,113
135,166;17,0732
136,166;17,0343
137,166;16,9944
138,166;16,9555
139,166;16,9166
140,165;16,8775
141,166;16,8385
142,165;16,799
143,166;16,7608
144,166;16,7227
145,165;16,684
146,166;16,6446
147,165;16,6065
148,166;16,569
149,166;16,5302
150,165;16,4931
151,166;16,4554
152,166;16,4168
153,166;16,3786
154,166;16,3405
155,165;16,3025
156,166;16,2631
157,165;16,2256
158,165;16,1873
159,165;16,1477
160,165;16,1098
161,166;16,0718
162,165;16,0338
163,166;15,9948
164,166;15,9578
165,165;15,921
166,166;15,8824
167,166;15,844
168,165;15,8069
169,166;15,769
170,166;15,7315
171,165;15,6942
172,165;15,6576
173,166;15,6194
174,165;15,5832
175,166;15,5461
176,166;15,51
177,165;15,4747
178,166;15,4388
179,165;15,4025
180,166;15,368
181,165;15,331
182,166;15,2955
183,166;15,2606
184,166;15,2258
185,165;15,1888
186,165;15,1537
187,165;15,1188
188,165;15,0832
189,165;15,0485
190,165;15,0129
191,166;14,9789
192,166;14,9444
193,166;14,9094
194,166;14,8734
195,165;14,8384
196,165;14,8043
197,165;14,7694
198,165;14,7355
199,166;14,7011
200,166;14,6662
201,165;14,6311
202,166;14,5955
203,166;14,5593
204,165;14,5261
205,165;14,4905
206,166;14,4554
207,166;14,4205
208,165;14,3882
209,165;14,3538
210,165;14,319
211,166;14,2848
212,165;14,2511
213,165;14,2167
214,165;14,1831
215,165;14,1497
216,166;14,1134
217,166;14,0801
218,166;14,0447
219,165;14,0125
220,166;13,9781
221,165;13,9454
222,166;13,9132
223,165;13,8805
224,166;13,8466
225,166;13,8144
226,165;13,7809
227,166;13,7482
228,165;13,7159
229,166;13,6819
230,165;13,6514
231,166;13,6187
232,166;13,5859
233,166;13,5916
234,165;13,6062
235,165;13,5672
236,165;13,5334
237,165;13,4994
238,165;13,4662
239,165;13,4335
240,165;13,4007
241,165;13,3661
242,166;13,3367
243,165;13,3031
244,165;13,2719
245,165;13,2396
246,166;13,2059
247,166;13,175
248,165;13,1415
249,165;13,1102
250,166;13,078
251,165;13,0463
252,166;13,0166
253,165;12,983
254,166;12,9524
255,166;12,9221
256,165;12,8905
257,166;12,8597
258,165;12,8289
259,166;12,7982
260,166;12,7672
261,165;12,736
262,165;12,705
263,165;12,6742
264,166;12,6432
265,165;12,6147
266,166;12,584
267,165;12,5534
268,166;12,5242
269,165;12,4932
270,166;12,463
271,165;12,433
272,165;12,4035
273,166;12,3737
274,165;12,3432
275,166;12,3145
276,165;12,2837
277,166;12,2557
278,165;12,2255
279,166;12,1974
280,165;12,167
281,166;12,1387
282,166;12,1094
283,165;12,0801
284,166;12,0507
285,166;12,0219
286,165;11,9934
287,166;11,9645
288,166;11,9361
289,166;11,908
290,166;11,8788
291,165;11,8487
292,165;11,8208
293,166;11,7935
294,165;11,7643
295,165;11,7367
296,166;11,7088
297,165;11,6802
298,166;11,6524
299,166;11,6246
300,165;11,5958
301,166;11,5686
302,165;11,5406
303,166;11,5124
304,165;11,484
305,166;11,4568
306,165;11,427
307,166;11,4
308,165;11,3709
309,166;11,3439
310,165;11,3154
311,165;11,2881
312,165;11,2602
313,166;11,2332
314,165;11,2056
315,166;11,1794
316,166;11,1517
317,165;11,1237
318,166;11,0966
319,165;11,0698
320,166;11,0436
321,165;11,0158
322,165;10,9882
323,166;10,962
324,165;10,9346
325,165;10,9077
326,166;10,882
327,165;10,8547
328,166;10,8297
329,165;10,8028
330,165;10,7761
331,166;10,7497
332,165;10,7235
333,166;10,6972
334,166;10,6706
335,166;10,6446
336,165;10,6173
337,165;10,5924
338,165;10,5672
339,165;10,5397
340,165;10,514
341,165;10,4891
342,165;10,4628
343,165;10,4371
344,164;10,4112
345,164;10,3846
346,164;10,3589
347,164;10,3338
348,164;10,3091
349,165;10,2828
350,164;10,2581
351,165;10,2339
352,164;10,2085
353,165;10,1832
354,164;10,1588
355,165;10,1324
356,164;10,1076
357,164;10,0831
358,165;10,0577
359,164;10,0324
360,165;10,006
361,165;9,9814
362,166;9,9558
363,165;9,9299
364,166;9,9053
365,166;9,8801
366,165;9,8545
367,166;9,8294
368,165;9,8059
